wheel-base,length,width,height,curb-weight,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
93.7,0.755886593,0.886111111,0.849498328,1876,2.97,3.23,9.41,68,5500,37,5.731707317,5572
93.7,0.755886593,0.886111111,0.849498328,1876,2.97,3.23,9.4,68,5500,31,6.184210526,6377
93.7,0.755886593,0.886111111,0.849498328,2128,3.03,3.39,7.6,102,5500,24,7.833333333,7957
93.7,0.755886593,0.886111111,0.846153846,1967,2.97,3.23,9.4,68,5500,31,6.184210526,6229
93.7,0.755886593,0.886111111,0.846153846,1989,2.97,3.23,9.4,68,5500,31,6.184210526,6692
93.7,0.755886593,0.886111111,0.846153846,1989,2.97,3.23,9.4,68,5500,31,6.184210526,7609
93.7,0.755886593,0.886111111,0.846153846,2191,3.03,3.39,7.6,102,5500,24,7.833333333,8558
103.3,0.839019702,0.897222222,1,2535,3.34,3.46,8.5,88,5000,24,7.833333333,8921
95.9,0.832292167,0.920833333,0.839464883,2811,3.6,3.9,7,145,5000,19,9.791666667,12964
86.6,0.694858241,0.8875,0.849498328,1713,2.91,3.41,9.6,58,4800,49,4.351851852,6479
86.6,0.694858241,0.8875,0.849498328,1819,2.91,3.41,9.2,76,6000,31,6.184210526,6855
93.7,0.720807304,0.888888889,0.879598662,1837,2.91,3.07,10.1,60,5500,38,5.595238095,5399
93.7,0.720807304,0.888888889,0.879598662,1940,2.91,3.41,9.2,76,6000,30,6.911764706,6529
93.7,0.720807304,0.888888889,0.879598662,1956,2.91,3.41,9.2,76,6000,30,6.911764706,7129
96.5,0.785199423,0.888888889,0.911371237,2010,2.91,3.41,9.2,76,6000,30,6.911764706,7295
96.5,0.754925517,0.8875,0.974916388,2024,2.92,3.41,9.2,76,6000,30,6.911764706,7295
96.5,0.80490149,0.905555556,0.891304348,2236,3.15,3.58,9,86,5800,27,7.121212121,7895
96.5,0.80490149,0.905555556,0.891304348,2289,3.15,3.58,9,86,5800,27,7.121212121,9095
96.5,0.842864008,0.905555556,0.904682274,2304,3.15,3.58,9,86,5800,27,7.121212121,8845
96.5,0.842864008,0.868055556,0.904682274,2372,3.15,3.58,9,86,5800,27,7.121212121,10295
96.5,0.842864008,0.905555556,0.904682274,2465,3.15,3.58,9,101,5800,24,8.392857143,12945
96.5,0.812590101,0.916666667,0.852842809,2293,3.15,3.58,9.1,100,5500,25,7.580645161,10345
94.3,0.820278712,0.858333333,0.894648829,2337,3.31,3.23,8.5,78,4800,24,8.103448276,6785
96,0.829408938,0.905555556,0.859531773,2734,3.43,3.23,9.2,90,5000,24,8.103448276,11048
113,0.959154253,0.966666667,0.882943144,4066,3.63,4.17,8.1,176,4750,15,12.36842105,32250
113,0.959154253,0.966666667,0.882943144,4066,3.63,4.17,8.1,176,4750,15,12.36842105,35550
102,0.921191735,0.980555556,0.799331104,3950,3.54,2.76,11.5,262,5000,13,13.82352941,36000
93.1,0.764536281,0.891666667,0.904682274,1890,3.03,3.15,9,68,5000,30,7.580645161,5195
93.1,0.764536281,0.891666667,0.904682274,1900,3.03,3.15,9,68,5000,31,6.184210526,6095
93.1,0.764536281,0.891666667,0.904682274,1905,3.03,3.15,9,68,5000,31,6.184210526,6795
93.1,0.801537722,0.891666667,0.904682274,1945,3.03,3.15,9,68,5000,31,6.184210526,6695
93.1,0.801537722,0.891666667,0.904682274,1950,3.08,3.15,9,68,5000,31,6.184210526,7395
95.3,0.812109563,0.9125,0.829431438,2380,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,10945
95.3,0.812109563,0.9125,0.829431438,2380,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,11845
95.3,0.812109563,0.9125,0.829431438,2385,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,13645
95.3,0.812109563,0.9125,0.829431438,2500,3.329751244,3.255422886,9.4,135,6000,16,10.2173913,15645
98.8,0.854396925,0.923611111,0.897993311,2385,3.39,3.39,8.6,84,4800,26,7.34375,8845
98.8,0.854396925,0.923611111,0.928093645,2410,3.39,3.39,8.6,84,4800,26,7.34375,8495
98.8,0.854396925,0.923611111,0.897993311,2385,3.39,3.39,8.6,84,4800,26,7.34375,10595
98.8,0.854396925,0.923611111,0.928093645,2410,3.39,3.39,8.6,84,4800,26,7.34375,10245
98.8,0.854396925,0.923611111,0.928093645,2443,3.39,3.39,22.7,64,4650,36,5.595238095,10795
98.8,0.854396925,0.923611111,0.928093645,2425,3.39,3.39,8.6,84,4800,26,7.34375,11245
104.9,0.840941855,0.918055556,0.909698997,2670,3.76,3.16,8,120,5000,19,8.703703704,18280
104.9,0.840941855,0.918055556,0.909698997,2700,3.43,3.64,22,72,4200,31,6.025641026,18344
110,0.917347429,0.976388889,0.944816054,3515,3.58,3.64,21.5,123,4350,22,9.4,25552
110,0.917347429,0.976388889,0.981605351,3750,3.58,3.64,21.5,123,4350,22,9.4,28248
106.7,0.90100913,0.976388889,0.918060201,3495,3.58,3.64,21.5,123,4350,22,9.4,28176
115.6,0.973570399,0.995833333,0.941471572,3770,3.58,3.64,21.5,123,4350,22,9.4,31600
115.6,0.973570399,0.995833333,0.944816054,3740,3.46,3.1,8.3,155,4750,16,13.05555556,34184
96.6,0.86641038,0.979166667,0.849498328,3685,3.46,3.1,8.3,155,4750,16,13.05555556,35056
120.9,1,0.995833333,0.948160535,3900,3.8,3.35,8,184,4500,14,14.6875,40960
112,0.9572321,1,0.926421405,3715,3.8,3.35,8,184,4500,14,14.6875,45400
102.7,0.857280154,0.944444444,0.91638796,2910,3.78,3.12,8,175,5000,19,9.791666667,16503
93.7,0.755886593,0.894444444,0.849498328,1918,2.97,3.23,9.4,68,5500,37,5.731707317,5389
93.7,0.755886593,0.894444444,0.849498328,1944,2.97,3.23,9.4,68,5500,31,6.184210526,6189
93.7,0.755886593,0.894444444,0.849498328,2004,2.97,3.23,9.4,68,5500,31,6.184210526,6669
93,0.755886593,0.886111111,0.849498328,2145,3.03,3.39,7.6,102,5500,24,7.833333333,7689
96.3,0.831331091,0.908333333,0.826086957,2370,3.17,3.46,7.5,116,5500,23,7.833333333,9959
96.3,0.831331091,0.908333333,0.826086957,2328,3.35,3.46,8.5,88,5000,25,7.34375,8499
95.9,0.832292167,0.920833333,0.839464883,2833,3.58,3.86,7,145,5000,19,9.791666667,12629
95.9,0.832292167,0.920833333,0.839464883,2921,3.59,3.86,7,145,5000,19,9.791666667,14869
95.9,0.832292167,0.920833333,0.839464883,2926,3.59,3.86,7,145,5000,19,9.791666667,14489
96.3,0.828447862,0.908333333,0.862876254,2365,3.35,3.46,8.5,88,5000,25,7.34375,6989
96.3,0.828447862,0.908333333,0.862876254,2405,3.35,3.46,8.5,88,5000,25,7.34375,8189
96.3,0.828447862,0.908333333,0.862876254,2403,3.17,3.46,7.5,116,5500,23,7.833333333,9279
96.3,0.828447862,0.908333333,0.862876254,2403,3.17,3.46,7.5,116,5500,23,7.833333333,9279
94.5,0.794329649,0.886111111,0.911371237,1889,3.15,3.29,9.4,69,5200,31,6.351351351,5499
94.5,0.794329649,0.886111111,0.911371237,2017,2.99,3.47,21.9,55,4800,45,4.7,7099
94.5,0.794329649,0.886111111,0.911371237,1918,3.15,3.29,9.4,69,5200,31,6.351351351,6649
94.5,0.794329649,0.886111111,0.911371237,1938,3.15,3.29,9.4,69,5200,31,6.351351351,6849
94.5,0.817876021,0.886111111,0.894648829,2024,3.15,3.29,9.4,69,5200,31,6.351351351,7349
94.5,0.794329649,0.886111111,0.911371237,1951,3.15,3.29,9.4,69,5200,31,6.351351351,7299
94.5,0.795771264,0.886111111,0.891304348,2028,3.15,3.29,9.4,69,5200,31,6.351351351,7799
94.5,0.794329649,0.886111111,0.911371237,1971,3.15,3.29,9.4,69,5200,31,6.351351351,7499
94.5,0.817876021,0.886111111,0.894648829,2037,3.15,3.29,9.4,69,5200,31,6.351351351,7999
95.1,0.780394041,0.886111111,0.891304348,2008,3.15,3.29,9.4,69,5200,31,6.351351351,8249
97.2,0.833253244,0.905555556,0.914715719,2324,3.33,3.47,8.5,97,5200,27,6.911764706,8949
97.2,0.833253244,0.905555556,0.914715719,2302,3.33,3.47,8.5,97,5200,27,6.911764706,9549
100.4,0.873137914,0.923611111,0.921404682,3095,3.43,3.27,9,152,5200,17,10.68181818,13499
100.4,0.887073522,0.923611111,0.93812709,3296,3.43,3.27,9,152,5200,17,10.68181818,14399
100.4,0.887073522,0.923611111,0.921404682,3060,3.43,3.27,9,152,5200,19,9.4,13499
91.3,0.820278712,0.943055556,0.831103679,3071,3.43,3.27,9,160,5200,19,9.4,17199
91.3,0.820278712,0.943055556,0.831103679,3139,3.43,3.27,7.8,200,5200,17,10.2173913,19699
99.2,0.857760692,0.943055556,0.831103679,3139,3.43,3.27,9,160,5200,19,9.4,18399
107.9,0.897164825,0.95,0.948160535,3020,3.46,3.19,8.4,97,5000,19,9.791666667,11900
107.9,0.897164825,0.95,0.948160535,3197,3.7,3.52,21,95,4150,28,7.121212121,13200
114.2,0.955790485,0.95,0.981605351,3230,3.46,3.19,8.4,97,5000,19,9.791666667,12440
114.2,0.955790485,0.95,0.981605351,3430,3.7,3.52,21,95,4150,25,9.4,13860
107.9,0.897164825,0.95,0.948160535,3075,3.46,2.19,8.4,95,5000,19,9.791666667,15580
107.9,0.897164825,0.95,0.948160535,3252,3.7,3.52,21,95,4150,28,7.121212121,16900
114.2,0.955790485,0.95,0.948160535,3285,3.46,2.19,8.4,95,5000,19,9.791666667,16695
114.2,0.955790485,0.95,0.981605351,3485,3.7,3.52,21,95,4150,25,9.4,17075
107.9,0.897164825,0.95,0.948160535,3075,3.46,3.19,8.4,97,5000,19,9.791666667,16630
107.9,0.897164825,0.95,0.948160535,3252,3.7,3.52,21,95,4150,28,7.121212121,17950
108,0.897164825,0.948611111,0.936454849,3130,3.61,3.21,7,142,5600,18,9.791666667,18150
93.7,0.755886593,0.886111111,0.849498328,1918,2.97,3.23,9.4,68,5500,37,5.731707317,5572
93.7,0.755886593,0.886111111,0.849498328,2128,3.03,3.39,7.6,102,5500,24,7.833333333,7957
93.7,0.755886593,0.886111111,0.846153846,1967,2.97,3.23,9.4,68,5500,31,6.184210526,6229
93.7,0.803940413,0.886111111,0.849498328,1989,2.97,3.23,9.4,68,5500,31,6.184210526,6692
93.7,0.803940413,0.886111111,0.849498328,2191,2.97,3.23,9.4,68,5500,31,6.184210526,7609
103.3,0.839019702,0.897222222,1,2535,3.35,3.46,8.5,88,5000,24,7.833333333,8921
95.9,0.832292167,0.920833333,0.839464883,2818,3.59,3.86,7,145,5000,19,9.791666667,12764
94.5,0.811629025,0.948611111,0.839464883,2778,3.94,3.11,9.5,143,5500,19,8.703703704,22018
89.5,0.811629025,0.902777778,0.862876254,2756,3.74,2.9,9.5,207,5900,17,9.4,32528
89.5,0.811629025,0.902777778,0.862876254,2756,3.74,2.9,9.5,207,5900,17,9.4,34028
89.5,0.811629025,0.902777778,0.862876254,2800,3.74,2.9,9.5,207,5900,17,9.4,37028
96.1,0.872176838,0.923611111,0.923076923,2579,3.46,3.9,8.7,104,5125.369458,23,7.580645161,9295
96.1,0.849591543,0.925,0.844481605,2460,3.46,3.9,8.7,104,5125.369458,23,7.580645161,9895
99.1,0.896684286,0.923611111,0.93812709,2658,3.54,3.07,9.31,110,5250,21,8.392857143,11850
99.1,0.896684286,0.923611111,0.93812709,2695,3.54,3.07,9.3,110,5250,21,8.392857143,12170
99.1,0.896684286,0.923611111,0.93812709,2707,2.54,2.07,9.3,110,5250,21,8.392857143,15040
99.1,0.896684286,0.923611111,0.93812709,2758,3.54,3.07,9.3,110,5250,21,8.392857143,15510
99.1,0.896684286,0.923611111,0.93812709,2808,3.54,3.07,9,160,5500,19,9.038461538,18150
99.1,0.896684286,0.923611111,0.93812709,2847,3.54,3.07,9,160,5500,19,9.038461538,18620
93.7,0.75396444,0.880555556,0.897993311,2050,3.62,2.36,9,69,4900,31,6.527777778,5118
93.7,0.758769822,0.883333333,0.897993311,2120,3.62,2.64,8.7,73,4400,26,7.580645161,7053
93.3,0.755886593,0.886111111,0.931438127,2240,3.62,2.64,8.7,73,4400,26,7.580645161,7603
97.2,0.826525709,0.908333333,0.877926421,2145,3.62,2.64,9.5,82,4800,32,6.351351351,7126
97.2,0.826525709,0.908333333,0.877926421,2190,3.62,2.64,9.5,82,4400,28,7.121212121,7775
97.2,0.826525709,0.908333333,0.877926421,2340,3.62,2.64,9,94,5200,26,7.34375,9960
97,0.826525709,0.908333333,0.908026756,2385,3.62,2.64,9,82,4800,24,9.4,9233
97,0.826525709,0.908333333,0.908026756,2510,3.62,2.64,7.7,111,4800,24,8.103448276,11259
97,0.833733782,0.908333333,0.886287625,2290,3.62,2.64,9,82,4800,28,7.34375,7463
97,0.833733782,0.908333333,0.886287625,2455,3.62,2.64,9,94,5200,25,7.580645161,10198
96.9,0.83421432,0.908333333,0.918060201,2420,3.62,2.64,9,82,4800,23,8.103448276,8013
96.9,0.83421432,0.908333333,0.918060201,2650,3.62,2.64,7.7,111,4800,23,10.2173913,11694
95.7,0.762614128,0.883333333,0.911371237,1985,3.05,3.03,9,62,4800,35,6.025641026,5348
95.7,0.762614128,0.883333333,0.911371237,2040,3.05,3.03,9,62,4800,31,6.184210526,6338
95.7,0.762614128,0.883333333,0.911371237,2015,3.05,3.03,9,62,4800,31,6.184210526,6488
95.7,0.81547333,0.883333333,0.988294314,2280,3.05,3.03,9,62,4800,31,6.351351351,6918
95.7,0.81547333,0.883333333,0.988294314,2290,3.05,3.03,9,62,4800,27,7.34375,7898
95.7,0.81547333,0.883333333,0.988294314,3110,3.05,3.03,9,62,4800,27,7.34375,8778
95.7,0.799135031,0.894444444,0.886287625,2081,3.19,3.03,9,70,4800,30,6.351351351,6938
95.7,0.799135031,0.894444444,0.882943144,2109,3.19,3.03,9,70,4800,30,6.351351351,7198
95.7,0.799135031,0.894444444,0.886287625,2275,3.27,3.35,22.5,56,4500,34,6.527777778,7898
95.7,0.799135031,0.894444444,0.882943144,2275,3.27,3.35,22.5,56,4500,38,5,7788
95.7,0.799135031,0.894444444,0.886287625,2094,3.19,3.03,9,70,4800,38,5,7738
95.7,0.799135031,0.894444444,0.882943144,2122,3.19,3.03,9,70,4800,28,6.911764706,8358
95.7,0.799135031,0.894444444,0.882943144,2140,3.19,3.03,9,70,4800,28,6.911764706,9258
94.5,0.810667948,0.888888889,0.879598662,2169,3.19,3.03,9,70,4800,29,6.911764706,8058
94.5,0.810667948,0.888888889,0.879598662,2204,3.19,3.03,9,70,4800,29,6.911764706,8238
94.5,0.810667948,0.888888889,0.879598662,2265,3.24,3.08,9.4,112,6600,26,8.103448276,9298
94.5,0.810667948,0.888888889,0.879598662,2300,3.24,3.08,9.4,112,6600,26,8.103448276,9538
98.4,0.846708313,0.911111111,0.869565217,2540,3.62,3.5,9.3,116,4800,24,7.833333333,8449
98.4,0.846708313,0.911111111,0.869565217,2536,3.62,3.5,9.3,116,4800,24,7.833333333,9639
98.4,0.846708313,0.911111111,0.869565217,2551,3.62,3.5,9.3,116,4800,24,7.833333333,9989
98.4,0.846708313,0.911111111,0.869565217,2679,3.62,3.5,9.3,116,4800,24,7.833333333,11199
98.4,0.846708313,0.911111111,0.869565217,2714,3.62,3.5,9.3,116,4800,24,7.833333333,11549
98.4,0.846708313,0.911111111,0.886287625,2975,3.62,3.5,9.3,116,4800,24,7.833333333,17669
102.4,0.843825084,0.923611111,0.918060201,2326,3.31,3.54,8.7,92,4200,29,6.911764706,8948
102.4,0.843825084,0.923611111,0.918060201,2480,3.27,3.35,22.5,73,4500,30,7.121212121,10698
102.4,0.843825084,0.923611111,0.901337793,2414,3.31,3.54,8.7,92,4200,27,7.34375,9988
102.4,0.843825084,0.923611111,0.918060201,2414,3.31,3.54,8.7,92,4200,27,7.34375,10898
102.4,0.843825084,0.923611111,0.901337793,2458,3.31,3.54,8.7,92,4200,27,7.34375,11248
102.9,0.881787602,0.940277778,0.869565217,2976,3.27,3.35,9.3,161,5200,20,9.791666667,16558
102.9,0.881787602,0.940277778,0.869565217,3016,3.27,3.35,9.3,161,5200,19,9.791666667,15998
104.5,0.902450745,0.923611111,0.904682274,3131,3.27,3.35,9.2,156,5200,20,9.791666667,15690
104.5,0.902450745,0.923611111,0.904682274,3151,3.27,3.35,9.2,156,5200,19,9.791666667,15750
97.3,0.825084094,0.909722222,0.931438127,2261,3.01,3.4,23,52,4800,37,5.108695652,7775
97.3,0.825084094,0.909722222,0.931438127,2209,3.19,3.4,9,85,5250,27,6.911764706,7975
97.3,0.825084094,0.909722222,0.931438127,2264,3.01,3.4,23,52,4800,37,5.108695652,7995
97.3,0.825084094,0.909722222,0.931438127,2212,3.19,3.4,9,85,5250,27,6.911764706,8195
97.3,0.825084094,0.909722222,0.931438127,2275,3.19,3.4,9,85,5250,27,6.911764706,8495
97.3,0.825084094,0.909722222,0.931438127,2319,3.01,3.4,23,68,4500,37,5.595238095,9495
97.3,0.825084094,0.909722222,0.931438127,2300,3.19,3.4,10,100,5500,26,7.34375,9995
94.5,0.765497357,0.891666667,0.929765886,2254,3.19,3.4,8.5,90,5500,24,8.103448276,11595
94.5,0.796251802,0.888888889,0.859531773,2221,3.19,3.4,8.5,90,5500,24,8.103448276,9980
100.4,0.865929841,0.929166667,0.921404682,2661,3.19,3.4,8.5,110,5500,19,9.791666667,13295
100.4,0.865929841,0.929166667,0.921404682,2579,3.01,3.4,23,68,4500,33,6.184210526,13845
100.4,0.879865449,0.929166667,0.921404682,2563,3.19,3.4,9,88,5500,25,7.580645161,12290
104.3,0.907256127,0.933333333,0.939799331,2912,3.78,3.15,9.5,114,5400,23,8.392857143,12940
104.3,0.907256127,0.933333333,0.961538462,3034,3.78,3.15,9.5,114,5400,23,8.392857143,13415
104.3,0.907256127,0.933333333,0.939799331,2935,3.78,3.15,9.5,114,5400,24,8.392857143,15985
104.3,0.907256127,0.933333333,0.961538462,3042,3.78,3.15,9.5,114,5400,24,8.392857143,16515
104.3,0.907256127,0.933333333,0.939799331,3045,3.62,3.15,7.5,162,5100,17,10.68181818,18420
104.3,0.907256127,0.933333333,0.961538462,3157,3.62,3.15,7.5,162,5100,17,10.68181818,18950
109.1,0.907256127,0.956944444,0.928093645,2952,3.78,3.15,9.5,114,5400,23,8.392857143,16845
109.1,0.907256127,0.955555556,0.928093645,3049,3.78,3.15,8.7,160,5300,19,9.4,19045
109.1,0.907256127,0.956944444,0.928093645,3012,3.58,2.87,8.8,134,5500,18,10.2173913,21485
109.1,0.907256127,0.956944444,0.928093645,3217,3.01,3.4,23,106,4800,26,8.703703704,22470
109.1,0.907256127,0.956944444,0.928093645,3062,3.78,3.15,9.5,114,5400,19,9.4,22625
